,Date,Open,High,Low,Close,Volume,Months,Monthly_mean,open_close_diff,high_low_diff
0,1789-05-01,0.51,0.51,0.51,0.51,0.0,1789-05,0.51,0.0,0.0
1,1789-06-01,0.51,0.51,0.51,0.51,0.0,1789-06,0.51,0.0,0.0
2,1789-07-01,0.5,0.5,0.5,0.5,0.0,1789-07,0.5,0.0,0.0
3,1789-08-01,0.5,0.51,0.5,0.51,0.0,1789-08,0.51,0.010000000000000009,0.010000000000000009
4,1789-09-01,0.51,0.51,0.5,0.51,0.0,1789-09,0.51,0.0,0.010000000000000009
5,1789-10-01,0.51,0.51,0.51,0.51,0.0,1789-10,0.51,0.0,0.0
6,1789-11-01,0.51,0.51,0.5,0.5,0.0,1789-11,0.5,0.010000000000000009,0.010000000000000009
7,1789-12-01,0.5,0.5,0.5,0.5,0.0,1789-12,0.5,0.0,0.0
8,1790-01-01,0.5,0.5,0.49,0.49,0.0,1790-01,0.49,0.010000000000000009,0.010000000000000009
9,1790-02-01,0.49,0.49,0.49,0.49,0.0,1790-02,0.49,0.0,0.0
10,1790-03-01,0.49,0.51,0.49,0.5,0.0,1790-03,0.5,0.010000000000000009,0.020000000000000018
11,1790-04-01,0.5,0.5,0.49,0.5,0.0,1790-04,0.5,0.0,0.010000000000000009
12,1790-05-01,0.51,0.52,0.51,0.52,0.0,1790-05,0.52,0.010000000000000009,0.010000000000000009
13,1790-06-01,0.52,0.53,0.52,0.53,0.0,1790-06,0.53,0.010000000000000009,0.010000000000000009
14,1790-07-01,0.53,0.53,0.53,0.53,0.0,1790-07,0.53,0.0,0.0
15,1790-08-01,0.53,0.54,0.53,0.54,0.0,1790-08,0.54,0.010000000000000009,0.010000000000000009
16,1790-09-01,0.54,0.55,0.54,0.55,0.0,1790-09,0.55,0.010000000000000009,0.010000000000000009
17,1790-10-01,0.55,0.57,0.55,0.56,0.0,1790-10,0.56,0.010000000000000009,0.019999999999999907
18,1790-11-01,0.56,0.57,0.55,0.55,0.0,1790-11,0.55,0.010000000000000009,0.019999999999999907
19,1790-12-01,0.57,0.57,0.57,0.57,0.0,1790-12,0.57,0.0,0.0
20,1791-01-01,0.57,0.58,0.57,0.58,0.0,1791-01,0.58,0.010000000000000009,0.010000000000000009
21,1791-02-01,0.58,0.59,0.58,0.59,0.0,1791-02,0.59,0.010000000000000009,0.010000000000000009
22,1791-03-01,0.59,0.59,0.59,0.59,0.0,1791-03,0.59,0.0,0.0
23,1791-04-01,0.6,0.6,0.6,0.6,0.0,1791-04,0.6,0.0,0.0
24,1791-05-01,0.6,0.6,0.6,0.6,0.0,1791-05,0.6,0.0,0.0
25,1791-06-01,0.6,0.6,0.6,0.6,0.0,1791-06,0.6,0.0,0.0
26,1791-07-01,0.6,0.6,0.6,0.6,0.0,1791-07,0.6,0.0,0.0
27,1791-08-01,0.6,0.61,0.6,0.61,0.0,1791-08,0.61,0.010000000000000009,0.010000000000000009
28,1791-09-01,0.61,0.62,0.61,0.62,0.0,1791-09,0.62,0.010000000000000009,0.010000000000000009
29,1791-10-01,0.62,0.62,0.62,0.62,0.0,1791-10,0.62,0.0,0.0
30,1791-11-01,0.62,0.62,0.62,0.62,0.0,1791-11,0.62,0.0,0.0
31,1791-12-01,0.63,0.63,0.63,0.63,0.0,1791-12,0.63,0.0,0.0
32,1792-01-01,0.63,0.64,0.63,0.63,0.0,1792-01,0.63,0.0,0.010000000000000009
33,1792-02-01,0.63,0.63,0.62,0.62,0.0,1792-02,0.62,0.010000000000000009,0.010000000000000009
34,1792-03-01,0.63,0.63,0.62,0.62,0.0,1792-03,0.62,0.010000000000000009,0.010000000000000009
35,1792-04-01,0.62,0.62,0.62,0.62,0.0,1792-04,0.62,0.0,0.0
36,1792-05-01,0.61,0.61,0.59,0.59,0.0,1792-05,0.59,0.020000000000000018,0.020000000000000018
37,1792-06-01,0.59,0.59,0.58,0.58,0.0,1792-06,0.58,0.010000000000000009,0.010000000000000009
38,1792-07-01,0.58,0.58,0.57,0.57,0.0,1792-07,0.57,0.010000000000000009,0.010000000000000009
39,1792-08-01,0.57,0.57,0.57,0.57,0.0,1792-08,0.57,0.0,0.0
40,1792-09-01,0.56,0.61,0.56,0.56,0.0,1792-09,0.56,0.0,0.04999999999999993
41,1792-10-01,0.56,0.56,0.52,0.54,0.0,1792-10,0.54,0.020000000000000018,0.040000000000000036
42,1792-11-01,0.53,0.54,0.53,0.54,0.0,1792-11,0.54,0.010000000000000009,0.010000000000000009
43,1792-12-01,0.54,0.54,0.54,0.54,0.0,1792-12,0.54,0.0,0.0
44,1793-01-01,0.54,0.55,0.54,0.55,0.0,1793-01,0.55,0.010000000000000009,0.010000000000000009
45,1793-02-01,0.55,0.57,0.55,0.57,0.0,1793-02,0.57,0.019999999999999907,0.019999999999999907
46,1793-03-01,0.57,0.58,0.57,0.58,0.0,1793-03,0.58,0.010000000000000009,0.010000000000000009
47,1793-04-01,0.58,0.61,0.58,0.59,0.0,1793-04,0.59,0.010000000000000009,0.030000000000000027
48,1793-05-01,0.59,0.59,0.58,0.59,0.0,1793-05,0.59,0.0,0.010000000000000009
49,1793-06-01,0.59,0.6,0.59,0.6,0.0,1793-06,0.6,0.010000000000000009,0.010000000000000009
50,1793-07-01,0.6,0.6,0.6,0.6,0.0,1793-07,0.6,0.0,0.0
51,1793-08-01,0.6,0.6,0.6,0.6,0.0,1793-08,0.6,0.0,0.0
52,1793-09-01,0.6,0.6,0.6,0.6,0.0,1793-09,0.6,0.0,0.0
53,1793-10-01,0.6,0.61,0.6,0.61,0.0,1793-10,0.61,0.010000000000000009,0.010000000000000009
54,1793-11-01,0.61,0.61,0.61,0.61,0.0,1793-11,0.61,0.0,0.0
55,1793-12-01,0.62,0.62,0.61,0.62,0.0,1793-12,0.62,0.0,0.010000000000000009
56,1794-01-01,0.62,0.63,0.62,0.63,0.0,1794-01,0.63,0.010000000000000009,0.010000000000000009
57,1794-02-01,0.63,0.64,0.63,0.64,0.0,1794-02,0.64,0.010000000000000009,0.010000000000000009
58,1794-03-01,0.64,0.66,0.64,0.66,0.0,1794-03,0.66,0.020000000000000018,0.020000000000000018
59,1794-04-01,0.66,0.66,0.66,0.66,0.0,1794-04,0.66,0.0,0.0
60,1794-05-01,0.67,0.68,0.67,0.68,0.0,1794-05,0.68,0.010000000000000009,0.010000000000000009
61,1794-06-01,0.68,0.7,0.68,0.7,0.0,1794-06,0.7,0.019999999999999907,0.019999999999999907
62,1794-07-01,0.7,0.76,0.7,0.71,0.0,1794-07,0.71,0.010000000000000009,0.06000000000000005
63,1794-08-01,0.72,0.73,0.68,0.73,0.0,1794-08,0.73,0.010000000000000009,0.04999999999999993
